drug,condition,text,rating,date,helpful_votes,clean_text,word_count,detected_ades,meddra_categories,ade_count,ade_severities
Ozempic (Synthetic),Type 2 Diabetes,My A1C points dropped tremendously. I finally have much better blood sugar control.,8,21-Sep-23,94,a1c points dropped tremendously finally much better blood sugar control,10,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"In my experience, It gets the job done, but I feel horrible on injection day. This drug changed my life completely.",8,20-Sep-22,75,experience gets job done feel horrible injection day drug changed life completely,12,,,0,
Ozempic (Synthetic),Obesity,"My appetite is so much reduced. It gets the job done, but I feel horrible on injection day. I actually have more energy now. This drug changed my life completely.",9,13-Feb-22,73,appetite much reduced gets job done feel horrible injection day actually energy drug changed life completely,16,appetite,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Obesity,"Honestly, The best medication I have ever taken. My A1C points dropped tremendously.",10,28-Jun-22,96,honestly best medication ever taken a1c points dropped tremendously,9,,,0,
Ozempic (Synthetic),Weight Management,I have constant fatigue.,3,18-Aug-24,6,constant fatigue,2,fatigue,General disorders,1,MODERATE
Ozempic (Synthetic),Obesity,"It gets the job done, but I feel horrible on injection day. My appetite is so much reduced.",8,22-Oct-22,90,gets job done feel horrible injection day appetite much reduced,10,appetite,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Obesity,Severe constipation that won't go away. I've been dealing with frequent vomiting. The nausea is overwhelming.,1,01-Aug-23,7,severe constipation go away dealing frequent vomiting nausea overwhelming,9,"nausea, vomiting, constipation",Gastrointestinal disorders,3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,My appetite is so much reduced. My A1C points dropped tremendously. This drug changed my life completely. The best medication I have ever taken.,8,09-Apr-24,103,appetite much reduced a1c points dropped tremendously drug changed life completely best medication ever taken,15,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Obesity,"To be clear, The nausea is overwhelming. Horrible diarrhea nearly every day. I'm noticing significant hair loss. I've been dealing with frequent vomiting.",1,09-Mar-24,92,clear nausea overwhelming horrible diarrhea nearly every day noticing significant hair loss dealing frequent vomiting,15,"nausea, vomiting, hair loss, diarrhea","Gastrointestinal disorders, Skin disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"I have constant fatigue. Horrible diarrhea nearly every day. Blood sugar is down, though the nausea restricts my life. Severe constipation that won't go away.",1,20-Dec-24,129,constant fatigue horrible diarrhea nearly every day blood sugar though nausea restricts life severe constipation go away,17,"nausea, constipation, blood sugar, fatigue, diarrhea","General disorders, Gastrointestinal disorders, Metabolism disorders",5,"SEVERE, SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,My appetite is so much reduced. I finally have much better blood sugar control. I actually have more energy now.,9,30-Mar-24,95,appetite much reduced finally much better blood sugar control actually energy,11,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,My A1C points dropped tremendously. My appetite is so much reduced.,8,25-Jul-23,57,a1c points dropped tremendously appetite much reduced,7,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"My appetite is so much reduced. I've experienced significant weight loss. The medication is effective, but side effects are barely manageable.",9,25-Sep-24,111,appetite much reduced experienced significant weight loss medication effective side effects barely manageable,13,"weight loss, appetite",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, My appetite is so much reduced. I actually have more energy now.",8,26-Mar-23,99,clear appetite much reduced actually energy,6,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, My A1C points dropped tremendously. I've experienced significant weight loss.",9,19-Dec-23,121,experience a1c points dropped tremendously experienced significant weight loss,9,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, The nausea is overwhelming. Dealing with symptoms of gastroparesis. Horrible diarrhea nearly every day.",1,05-May-24,19,honestly nausea overwhelming dealing symptoms gastroparesis horrible diarrhea nearly every day,11,"nausea, diarrhea",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,Severe constipation that won't go away. I have constant fatigue.,1,03-Feb-23,140,severe constipation go away constant fatigue,6,"fatigue, constipation","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"I actually have more energy now. This drug changed my life completely. It gets the job done, but I feel horrible on injection day. My A1C points dropped tremendously.",10,19-Feb-22,147,actually energy drug changed life completely gets job done feel horrible injection day a1c points dropped tremendously,17,,,0,
Ozempic (Synthetic),Weight Management,"In my experience, Horrible diarrhea nearly every day. I have constant fatigue. The nausea is overwhelming.",1,04-Mar-24,22,experience horrible diarrhea nearly every day constant fatigue nausea overwhelming,10,"nausea, fatigue, diarrhea","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,My appetite is so much reduced. My A1C points dropped tremendously. I actually have more energy now.,10,22-Jul-22,105,appetite much reduced a1c points dropped tremendously actually energy,9,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Obesity,"To be clear, The medication is effective, but side effects are barely manageable. I actually have more energy now.",9,12-Mar-22,1,clear medication effective side effects barely manageable actually energy,9,,,0,
Ozempic (Synthetic),Obesity,"I lose weight, but I'm always tired. I finally have much better blood sugar control. My appetite is so much reduced. The best medication I have ever taken.",8,18-Mar-23,120,lose weight always tired finally much better blood sugar control appetite much reduced best medication ever taken,17,"appetite, tired, blood sugar","General disorders, Metabolism disorders",3,"MILD, MILD, MILD"
Ozempic (Synthetic),Obesity,"In my experience, The best medication I have ever taken. I actually have more energy now.",8,06-Jan-22,140,experience best medication ever taken actually energy,7,,,0,
Ozempic (Synthetic),Weight Management,"Honestly, The best medication I have ever taken. It works really well, but it's incredibly expensive. I finally have much better blood sugar control. I've experienced significant weight loss.",9,11-Dec-23,45,honestly best medication ever taken works really well incredibly expensive finally much better blood sugar control experienced significant weight loss,20,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,My appetite is so much reduced.,10,22-Jan-22,91,appetite much reduced,3,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,My A1C points dropped tremendously. I actually have more energy now. My appetite is so much reduced. I've experienced significant weight loss.,9,18-Dec-22,27,a1c points dropped tremendously actually energy appetite much reduced experienced significant weight loss,13,"weight loss, appetite",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"I'm noticing significant hair loss. I lose weight, but I'm always tired.",1,07-Feb-24,141,noticing significant hair loss lose weight always tired,8,"tired, hair loss","General disorders, Skin disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, My appetite is so much reduced. I finally have much better blood sugar control. The medication is effective, but side effects are barely manageable. This drug changed my life completely.",8,25-Jun-24,18,clear appetite much reduced finally much better blood sugar control medication effective side effects barely manageable drug changed life completely,20,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Obesity,"My A1C points dropped tremendously. This drug changed my life completely. I've experienced significant weight loss. Blood sugar is down, though the nausea restricts my life. It works really well, but it's incredibly expensive.",10,22-Oct-22,82,a1c points dropped tremendously drug changed life completely experienced significant weight loss blood sugar though nausea restricts life works really well incredibly expensive,23,"nausea, weight loss, blood sugar","Gastrointestinal disorders, Metabolism disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, The best medication I have ever taken. I've experienced significant weight loss.",9,19-Oct-23,74,honestly best medication ever taken experienced significant weight loss,9,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Obesity,"The medication is effective, but side effects are barely manageable. I have constant fatigue. I'm noticing significant hair loss. I've been dealing with frequent vomiting.",2,01-Sep-22,142,medication effective side effects barely manageable constant fatigue noticing significant hair loss dealing frequent vomiting,15,"fatigue, vomiting, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,Dealing with symptoms of gastroparesis.,2,27-Oct-24,47,dealing symptoms gastroparesis,3,,,0,
Ozempic (Synthetic),Weight Management,"To be clear, I've experienced significant weight loss. This drug changed my life completely.",10,05-Feb-24,25,clear experienced significant weight loss drug changed life completely,9,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Weight Management,Severe constipation that won't go away. There is terrible injection site pain.,2,12-Oct-22,85,severe constipation go away terrible injection site pain,8,"injection site, constipation","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, My appetite is so much reduced. I actually have more energy now.",8,13-Feb-23,0,experience appetite much reduced actually energy,6,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"In my experience, This drug changed my life completely. My appetite is so much reduced.",9,25-Mar-23,64,experience drug changed life completely appetite much reduced,8,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"Blood sugar is down, though the nausea restricts my life. I lose weight, but I'm always tired.",8,14-Jun-24,27,blood sugar though nausea restricts life lose weight always tired,10,"nausea, tired, blood sugar","General disorders, Gastrointestinal disorders, Metabolism disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,I actually have more energy now. The best medication I have ever taken. I have constant fatigue. I finally have much better blood sugar control. I have major pancreatitis concerns now.,5,08-Jan-24,68,actually energy best medication ever taken constant fatigue finally much better blood sugar control major pancreatitis concerns,17,"fatigue, blood sugar, pancreatitis","General disorders, Gastrointestinal disorders, Metabolism disorders",3,"MILD, MILD, MILD"
Ozempic (Synthetic),Weight Management,I'm noticing significant hair loss.,3,14-Aug-22,35,noticing significant hair loss,4,hair loss,Skin disorders,1,MODERATE
Ozempic (Synthetic),Obesity,"To be clear, The nausea is overwhelming. There is terrible injection site pain. I've been dealing with frequent vomiting.",1,17-Jul-24,128,clear nausea overwhelming terrible injection site pain dealing frequent vomiting,10,"nausea, vomiting, injection site","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"To be clear, I lose weight, but I'm always tired. This drug changed my life completely.",10,07-Sep-23,131,clear lose weight always tired drug changed life completely,9,tired,General disorders,1,MODERATE
Ozempic (Synthetic),Type 2 Diabetes,"Blood sugar is down, though the nausea restricts my life. The best medication I have ever taken.",9,06-Aug-24,59,blood sugar though nausea restricts life best medication ever taken,10,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,"My A1C points dropped tremendously. Blood sugar is down, though the nausea restricts my life. I lose weight, but I'm always tired. This drug changed my life completely.",8,04-May-23,23,a1c points dropped tremendously blood sugar though nausea restricts life lose weight always tired drug changed life completely,18,"nausea, tired, blood sugar","General disorders, Gastrointestinal disorders, Metabolism disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, There is terrible injection site pain. I've been dealing with frequent vomiting. Blood sugar is down, though the nausea restricts my life.",1,23-Jul-23,90,experience terrible injection site pain dealing frequent vomiting blood sugar though nausea restricts life,14,"nausea, blood sugar, vomiting, injection site","General disorders, Gastrointestinal disorders, Metabolism disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, It gets the job done, but I feel horrible on injection day. The nausea is overwhelming. I actually have more energy now. The medication is effective, but side effects are barely manageable. I've experienced significant weight loss.",4,03-Apr-22,129,clear gets job done feel horrible injection day nausea overwhelming actually energy medication effective side effects barely manageable experienced significant weight loss,22,"nausea, weight loss","Gastrointestinal disorders, Metabolism disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"Honestly, I've been dealing with frequent vomiting. There is terrible injection site pain.",1,27-Oct-22,138,honestly dealing frequent vomiting terrible injection site pain,8,"injection site, vomiting","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,The nausea is overwhelming. There is terrible injection site pain.,1,28-Apr-23,100,nausea overwhelming terrible injection site pain,6,"nausea, injection site","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,My appetite is so much reduced. I actually have more energy now.,10,09-May-23,147,appetite much reduced actually energy,5,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, I have major pancreatitis concerns now. It works really well, but it's incredibly expensive. Dealing with symptoms of gastroparesis.",2,08-Jan-23,4,experience major pancreatitis concerns works really well incredibly expensive dealing symptoms gastroparesis,12,pancreatitis,Gastrointestinal disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, Horrible diarrhea nearly every day. It works really well, but it's incredibly expensive. I have major pancreatitis concerns now. Dealing with symptoms of gastroparesis.",3,01-Jan-23,2,clear horrible diarrhea nearly every day works really well incredibly expensive major pancreatitis concerns dealing symptoms gastroparesis,17,"pancreatitis, diarrhea",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, Horrible diarrhea nearly every day. I've been dealing with frequent vomiting. The nausea is overwhelming.",2,29-Dec-24,53,experience horrible diarrhea nearly every day dealing frequent vomiting nausea overwhelming,11,"nausea, vomiting, diarrhea",Gastrointestinal disorders,3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, I finally have much better blood sugar control. My appetite is so much reduced. This drug changed my life completely. The best medication I have ever taken. My A1C points dropped tremendously.",10,20-May-22,86,experience finally much better blood sugar control appetite much reduced drug changed life completely best medication ever taken a1c points dropped tremendously,22,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,"I lose weight, but I'm always tired. I have constant fatigue. My appetite is so much reduced.",4,26-Sep-23,59,lose weight always tired constant fatigue appetite much reduced,9,"appetite, fatigue, tired","General disorders, Metabolism disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"Blood sugar is down, though the nausea restricts my life. Horrible diarrhea nearly every day. I have constant fatigue. I've been dealing with frequent vomiting.",3,14-Feb-24,88,blood sugar though nausea restricts life horrible diarrhea nearly every day constant fatigue dealing frequent vomiting,16,"vomiting, nausea, blood sugar, fatigue, diarrhea","General disorders, Gastrointestinal disorders, Metabolism disorders",5,"SEVERE, SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, I'm noticing significant hair loss. The nausea is overwhelming.",1,09-May-23,18,experience noticing significant hair loss nausea overwhelming,7,"nausea, hair loss","Gastrointestinal disorders, Skin disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, The best medication I have ever taken. I finally have much better blood sugar control.",9,21-Nov-24,55,experience best medication ever taken finally much better blood sugar control,11,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Obesity,"I've experienced significant weight loss. I finally have much better blood sugar control. It works really well, but it's incredibly expensive. This drug changed my life completely.",9,13-Jul-24,11,experienced significant weight loss finally much better blood sugar control works really well incredibly expensive drug changed life completely,19,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, The nausea is overwhelming. I've been dealing with frequent vomiting.",5,30-Oct-24,117,honestly nausea overwhelming dealing frequent vomiting,6,"nausea, vomiting",Gastrointestinal disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"In my experience, I actually have more energy now. The best medication I have ever taken. My A1C points dropped tremendously. Blood sugar is down, though the nausea restricts my life. I've experienced significant weight loss.",8,31-Jul-22,139,experience actually energy best medication ever taken a1c points dropped tremendously blood sugar though nausea restricts life experienced significant weight loss,21,"nausea, weight loss, blood sugar","Gastrointestinal disorders, Metabolism disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"My appetite is so much reduced. The best medication I have ever taken. My A1C points dropped tremendously. It works really well, but it's incredibly expensive.",10,22-Jan-23,42,appetite much reduced best medication ever taken a1c points dropped tremendously works really well incredibly expensive,16,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Obesity,"Honestly, The nausea is overwhelming. It gets the job done, but I feel horrible on injection day. The medication is effective, but side effects are barely manageable.",6,06-Apr-22,3,honestly nausea overwhelming gets job done feel horrible injection day medication effective side effects barely manageable,16,nausea,Gastrointestinal disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,I've experienced significant weight loss. My appetite is so much reduced. I finally have much better blood sugar control.,8,03-Jul-22,4,experienced significant weight loss appetite much reduced finally much better blood sugar control,13,"weight loss, blood sugar, appetite",Metabolism disorders,3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"Severe constipation that won't go away. My A1C points dropped tremendously. It works really well, but it's incredibly expensive.",4,15-Jun-23,147,severe constipation go away a1c points dropped tremendously works really well incredibly expensive,13,constipation,Gastrointestinal disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, I have constant fatigue. I've been dealing with frequent vomiting.",2,03-Dec-24,86,honestly constant fatigue dealing frequent vomiting,6,"fatigue, vomiting","General disorders, Gastrointestinal disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"To be clear, I have major pancreatitis concerns now. Severe constipation that won't go away.",2,03-Mar-24,60,clear major pancreatitis concerns severe constipation go away,8,"constipation, pancreatitis",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, Dealing with symptoms of gastroparesis. I've been dealing with frequent vomiting. There is terrible injection site pain. I have constant fatigue.",2,12-Sep-24,100,honestly dealing symptoms gastroparesis dealing frequent vomiting terrible injection site pain constant fatigue,13,"injection site, fatigue, vomiting","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,My appetite is so much reduced. The best medication I have ever taken. I actually have more energy now. I finally have much better blood sugar control.,8,24-Jan-22,72,appetite much reduced best medication ever taken actually energy finally much better blood sugar control,15,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,"I've experienced significant weight loss. My appetite is so much reduced. Blood sugar is down, though the nausea restricts my life. I finally have much better blood sugar control.",8,29-Jun-22,83,experienced significant weight loss appetite much reduced blood sugar though nausea restricts life finally much better blood sugar control,19,"nausea, weight loss, blood sugar, appetite","Gastrointestinal disorders, Metabolism disorders",4,"MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,The best medication I have ever taken. I finally have much better blood sugar control. I've experienced significant weight loss. My A1C points dropped tremendously.,9,23-Sep-23,16,best medication ever taken finally much better blood sugar control experienced significant weight loss a1c points dropped tremendously,18,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, Severe constipation that won't go away. I have major pancreatitis concerns now. There is terrible injection site pain.",1,25-Feb-24,149,clear severe constipation go away major pancreatitis concerns terrible injection site pain,12,"injection site, constipation, pancreatitis","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, I have constant fatigue. I have major pancreatitis concerns now. I'm noticing significant hair loss.",1,25-Feb-22,78,honestly constant fatigue major pancreatitis concerns noticing significant hair loss,10,"fatigue, hair loss, pancreatitis","General disorders, Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"Severe constipation that won't go away. I'm noticing significant hair loss. I lose weight, but I'm always tired.",3,27-Nov-23,100,severe constipation go away noticing significant hair loss lose weight always tired,12,"tired, constipation, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,I'm noticing significant hair loss. Horrible diarrhea nearly every day. I've been dealing with frequent vomiting.,2,04-Jan-24,42,noticing significant hair loss horrible diarrhea nearly every day dealing frequent vomiting,12,"vomiting, hair loss, diarrhea","Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"There is terrible injection site pain. I lose weight, but I'm always tired.",3,26-Feb-23,118,terrible injection site pain lose weight always tired,8,"injection site, tired",General disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,Dealing with symptoms of gastroparesis. I have constant fatigue. I'm noticing significant hair loss.,3,06-Sep-22,64,dealing symptoms gastroparesis constant fatigue noticing significant hair loss,9,"fatigue, hair loss","General disorders, Skin disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"In my experience, This drug changed my life completely. My appetite is so much reduced. It works really well, but it's incredibly expensive. I finally have much better blood sugar control.",8,11-Oct-22,85,experience drug changed life completely appetite much reduced works really well incredibly expensive finally much better blood sugar control,19,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Weight Management,I have constant fatigue. I'm noticing significant hair loss. I've been dealing with frequent vomiting.,3,23-Nov-23,135,constant fatigue noticing significant hair loss dealing frequent vomiting,9,"fatigue, vomiting, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"I've been dealing with frequent vomiting. There is terrible injection site pain. This drug changed my life completely. The medication is effective, but side effects are barely manageable.",7,19-Oct-23,17,dealing frequent vomiting terrible injection site pain drug changed life completely medication effective side effects barely manageable,17,"injection site, vomiting","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"I finally have much better blood sugar control. The best medication I have ever taken. My A1C points dropped tremendously. Blood sugar is down, though the nausea restricts my life.",8,18-Aug-23,56,finally much better blood sugar control best medication ever taken a1c points dropped tremendously blood sugar though nausea restricts life,20,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Obesity,"Honestly, I finally have much better blood sugar control. I actually have more energy now. The best medication I have ever taken. My appetite is so much reduced.",8,16-Sep-23,126,honestly finally much better blood sugar control actually energy best medication ever taken appetite much reduced,16,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,I finally have much better blood sugar control. I actually have more energy now.,9,10-Jun-24,46,finally much better blood sugar control actually energy,8,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"Honestly, It gets the job done, but I feel horrible on injection day. I'm noticing significant hair loss. I lose weight, but I'm always tired.",7,07-Mar-23,31,honestly gets job done feel horrible injection day noticing significant hair loss lose weight always tired,16,"tired, hair loss","General disorders, Skin disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"To be clear, The medication is effective, but side effects are barely manageable. I've been dealing with frequent vomiting. I lose weight, but I'm always tired.",1,27-Oct-23,72,clear medication effective side effects barely manageable dealing frequent vomiting lose weight always tired,14,"tired, vomiting","General disorders, Gastrointestinal disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, I've experienced significant weight loss. My appetite is so much reduced.",8,05-Jun-24,149,honestly experienced significant weight loss appetite much reduced,8,"weight loss, appetite",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, It gets the job done, but I feel horrible on injection day. I actually have more energy now. The nausea is overwhelming.",7,07-Oct-24,122,experience gets job done feel horrible injection day actually energy nausea overwhelming,12,nausea,Gastrointestinal disorders,1,SEVERE
Ozempic (Synthetic),Obesity,"To be clear, The nausea is overwhelming. Horrible diarrhea nearly every day.",1,14-Jan-22,27,clear nausea overwhelming horrible diarrhea nearly every day,8,"nausea, diarrhea",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, It gets the job done, but I feel horrible on injection day. I'm noticing significant hair loss. I have constant fatigue.",1,06-Jun-23,150,experience gets job done feel horrible injection day noticing significant hair loss constant fatigue,14,"fatigue, hair loss","General disorders, Skin disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"To be clear, This drug changed my life completely. It gets the job done, but I feel horrible on injection day.",8,16-Sep-22,129,clear drug changed life completely gets job done feel horrible injection day,12,,,0,
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, I've experienced significant weight loss. My A1C points dropped tremendously. The best medication I have ever taken. This drug changed my life completely. I actually have more energy now.",8,23-Jan-22,62,clear experienced significant weight loss a1c points dropped tremendously best medication ever taken drug changed life completely actually energy,19,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Obesity,I've experienced significant weight loss. I finally have much better blood sugar control. This drug changed my life completely.,10,15-Feb-22,150,experienced significant weight loss finally much better blood sugar control drug changed life completely,14,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"In my experience, I actually have more energy now. I lose weight, but I'm always tired. I've experienced significant weight loss. Blood sugar is down, though the nausea restricts my life.",9,04-Apr-23,7,experience actually energy lose weight always tired experienced significant weight loss blood sugar though nausea restricts life,17,"nausea, weight loss, tired, blood sugar","General disorders, Gastrointestinal disorders, Metabolism disorders",4,"MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,I've experienced significant weight loss. I finally have much better blood sugar control.,10,25-Sep-22,33,experienced significant weight loss finally much better blood sugar control,10,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,I have major pancreatitis concerns now. I've been dealing with frequent vomiting.,3,04-Apr-23,59,major pancreatitis concerns dealing frequent vomiting,6,"vomiting, pancreatitis",Gastrointestinal disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, Severe constipation that won't go away. I have major pancreatitis concerns now. I'm noticing significant hair loss.",3,15-Mar-22,33,clear severe constipation go away major pancreatitis concerns noticing significant hair loss,12,"constipation, hair loss, pancreatitis","Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,I've experienced significant weight loss. I finally have much better blood sugar control. I actually have more energy now.,10,20-Oct-22,42,experienced significant weight loss finally much better blood sugar control actually energy,12,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"It gets the job done, but I feel horrible on injection day. I'm noticing significant hair loss.",7,26-Apr-22,99,gets job done feel horrible injection day noticing significant hair loss,11,hair loss,Skin disorders,1,SEVERE
Ozempic (Synthetic),Weight Management,"Blood sugar is down, though the nausea restricts my life. It gets the job done, but I feel horrible on injection day.",4,12-Sep-23,120,blood sugar though nausea restricts life gets job done feel horrible injection day,13,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, I've experienced significant weight loss. This drug changed my life completely. It gets the job done, but I feel horrible on injection day. I actually have more energy now.",10,05-Oct-22,51,experience experienced significant weight loss drug changed life completely gets job done feel horrible injection day actually energy,18,weight loss,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Type 2 Diabetes,"The medication is effective, but side effects are barely manageable. I have major pancreatitis concerns now. I have constant fatigue.",1,10-Feb-23,57,medication effective side effects barely manageable major pancreatitis concerns constant fatigue,11,"fatigue, pancreatitis","General disorders, Gastrointestinal disorders",2,"MILD, MILD"
